Date,popularityscore,Open,High,Low,Close,Volume,Adj Close
24-12-2012,9,257.299988,259.5,242.860001,245.179993,2658700,245.179993
17-12-2012,10,249.809998,263.109985,249.259995,256.920013,3365400,256.920013
10-12-2012,9,253.100006,254.779999,246.649994,249.190002,3060800,249.190002
03-12-2012,9,252.539993,255.550003,248.660004,253.270004,2937100,253.270004
26-11-2012,10,240.389999,252.649994,238,252.050003,3815600,252.050003
19-11-2012,7,228.320007,240,227.449997,239.880005,2774700,239.880005
12-11-2012,7,226.589996,229.220001,218.179993,225.229996,3110000,225.229996
05-11-2012,6,232.039993,237.75,224.600006,226.309998,2841300,226.309998
31-10-2012,8,236.320007,238.699997,230.5,232.419998,4025800,232.419998
22-10-2012,9,238.809998,238.949997,222.919998,238.240005,6143600,238.240005
15-10-2012,7,242.850006,250.910004,238.509995,240,3633400,240
08-10-2012,8,257.670013,259.799988,241.889999,242.360001,2971100,242.360001
01-10-2012,5,255.399994,261.899994,249.029999,258.51001,2605900,258.51001
24-09-2012,6,255.220001,258.950012,248.229996,254.320007,3177600,254.320007
17-09-2012,9,261.25,262.839996,256.73999,257.470001,3226200,257.470001
10-09-2012,11,259,264.109985,253.5,261.269989,2911400,261.269989
04-09-2012,10,248.270004,259.420013,244.660004,259.140015,4248500,259.140015
27-08-2012,5,245.789993,250,243,248.270004,2887900,248.270004
20-08-2012,8,241.369995,246.869995,238.199997,245.740005,2617500,245.740005
13-08-2012,7,232.229996,243.350006,231,241.169998,3082100,241.169998
06-08-2012,6,235.559998,238,231.429993,232.75,1767300,232.75
30-07-2012,8,237,240.740005,228.660004,234.970001,3121400,234.970001
23-07-2012,7,224.720001,238.339996,214.949997,237.320007,6484300,237.320007
16-07-2012,5,216.600006,229.389999,213.960007,228.289993,3140700,228.289993
09-07-2012,4,225,227.139999,212.610001,218.389999,2495300,218.389999
02-07-2012,6,229.300003,230.5,224.179993,225.050003,2386900,225.050003
25-06-2012,6,220.300003,228.350006,218,228.350006,3108900,228.350006
18-06-2012,7,217.279999,226.029999,216.729996,222.160004,2712200,222.160004
11-06-2012,5,217.490005,220.869995,212.559998,218.350006,3150700,218.350006
04-06-2012,6,207.399994,221.490005,206.369995,218.479996,3386900,218.479996
29-05-2012,5,214.300003,216.550003,207.110001,208.220001,3916900,208.220001
21-05-2012,11,214.029999,219.979996,211.179993,212.889999,3373800,212.889999
14-05-2012,10,225.600006,230.610001,212.809998,213.850006,4761800,213.850006
07-05-2012,6,222.360001,230.679993,218.199997,227.679993,4078100,227.679993
30-04-2012,11,223.949997,233.839996,223.050003,223.990005,5949100,223.990005
